Carro;Motor;Preço;Km
VOLKSWAGEN VOYAGE;1.0 MPI (Flex);R$ 55.900;66.000 km;
RENAULT KWID;Zen 1.0 12v SCe (Flex);R$ 45.900;41.000 km;
HYUNDAI HB20;Comfort 1.0 (Flex);R$ 62.900;53.000 km;
NISSAN FRONTIER;SE CD 4x4 2.3 Bi-TB Diesel Aut.;R$ 189.800;5.931 km;
CHEVROLET PRISMA;1.4 SPE/4 Eco LTZ;R$ 65.900;67.000 km;
FIAT FIORINO;1.4 Endurance (Flex);R$ 85.900;83.000 km;
VOLKSWAGEN POLO;Track 1.0 Flex 12V 5p;R$ 73.900;23.000 km;
BYD DOLPHIN;Diamond;R$ 109.900;3.300 km;
FORD NEW FIESTA HATCH;New Fiesta S 1.5 16V;R$ 42.900;66.171 km;
HONDA CIVIC;New  EXR 2.0 i-VTEC (Aut) (Flex);R$ 75.900;145.000 km;
TOYOTA COROLLA;2.0 XEi Multi-Drive S (Flex);R$ 68.900;150.000 km;
VOLKSWAGEN VIRTUS;1.0 200 TSI Highline (Flex) (Aut);R$ 94.900;78.479 km;
PEUGEOT 208;Griffe 1.6 (Flex) (Aut);R$ 77.900;68.547 km;
FORD NEW FIESTA HATCH;New Fiesta Titanium Plus 1.0 EcoBoost PowerShift;R$ 54.900;101.879 km;
CHEVROLET PRISMA;1.4 LT SPE/4 (Aut);R$ 65.900;89.171 km;
CHEVROLET CAMARO;6.2 2SS;R$ 224.900;41.870 km;
CHEVROLET ONIX;LT 1.0 II (Flex);R$ 59.900;94.000 km;
CITROËN C4 CACTUS;1.6 Feel (Aut) (Flex);R$ 79.990;73.000 km;
HONDA CITY;EX 1.5 CVT (Flex);R$ 69.900;98.000 km;
RENAULT DUSTER;Zen 1.6 16V (Flex);R$ 79.900;95.000 km;
KIA PICANTO;EX 1.0 (Flex);R$ 32.900;113.000 km;
CHEVROLET SONIC SEDAN;LT (Aut);R$ 43.900;110.356 km;
FORD FIESTA SEDAN;SE 1.6 Rocam (Flex);R$ 37.900;90.200 km;
HYUNDAI TUCSON;2.0;R$ 59.990;134.000 km;
